,locname,Lat,Lng,name,ID,Location,Se Vende Maruchan, Se vende Guarana,¿Cuántos skus Guarana hay en anaquel?,¿Hay Guarana LATA 350ml ORIGINAL en anaquel?,¿Cual es el precio Guarana LATA 350ml Original?,¿Hay Guarana LATA 350ml ZERO en anaquel?,¿Hay Guarana PET 2L ORIGINAL en anaquel?,¿Hay Guarana PET 2L ZERO en anaquel?,¿Hay degustaciones de Guarana en la tienda est,¿Hay promocion de Guarana en la tienda esta se,	¿Se vende agua de coco?	¿Se vende chocolate?,¿Se vende veggie chips?,Veggie chips a la venta
2572562,Amazonia Aeropuerto,-0.1240805,-78.359630,Alejandro Vargas,Amazonia Aeropuerto,Si,1,Si,3.99,No,No,No,No,No,No,No,Si,1 Item,2.11
2572561,Fybeca Airport,-0.1245696,-78.361416,Alejandro Vargas,Fybeca Airport,No,Si,4 Items,Si,1 Item,1.25,1.25,1.25,1.0,0.6,,,,
2572546,On the Eun Kennedy,-0.1441259,-78.483193,Alejandro Vargas,On the Eun Kennedy,Si,1,Si,1.5,Si,1.5,No,No,No,No,Si,1 Item,Si,2 Items
2572510,Tia Tumbaco 01 - Via Interoceanica Y Gonzalo Pizarro,-0.2155151,-78.404737,Alejandro Vargas,No,Si,3 Items,Si,3 Items,1.89,1.99,1.49,1.49,0.99,0.99,,,,
2572449,Santa Maria Tumbaco,-0.2154732,-78.406442,Alejandro Vargas,Santa Maria Tumbaco,No,Si,4 Items,Si,3 Items,1.99,1.0,1.66,1.77,1.26,1.49,0.88,,
2572423,Gran Aki Tumbaco,-0.2144954,-78.407550,Alejandro Vargas,Gran Aki Tumbaco,Si,1,0,0.99,0.0,No,No,Out of stock RS,Si,1,Si,1.32,No,No
2572370,Supermaxi Ventura Mall,-0.2112159,-78.415098,Alejandro Vargas,Supermaxi Ventura Mall,Si,2,1,0.99,0.53,No,No,Si,2,Si,1.32,Si,1.33,No
2572163,Fybeca Scala,-0.2072846,-78.426162,Alejandro Vargas,Fybeca Scala,No,Si,3 Items,Si,2 Items,1.2,1.1,1.99,1.9,1.42,,,,
2572116,MegaMaxi Scala,-0.2006477,-78.433326,Alejandro Vargas,MegaMaxi Scala,Si,2,0,0.99,0.52,No,No,Maruchan Ramen reorder,Si,1,Si,1.32,No,No
2570607,Okidoki Octubre y Ventanilla,-0.2081488,-78.490497,Alejandro Vargas,Okidoki Octubre y Ventanilla,No,Si,3 Items,Si,1 Item,Small store,0.5,0.95,1.05,0.55,,,,
2570587,Supermaxi Quito 01 - Ave. 12 De Octubre,-0.2067932,-78.487255,Alejandro Vargas,Si,1,0,0.99,0.52,No,No,"Panic sales, out of sock",Si,2,Si,1.32,Si,1.33,No
2570367,Centro Supermercado Santa Maria - Bolívar 334,-0.2223384,-78.513614,Alejandro Vargas,Out of stock,No,Si,2 Items,Si,1 Item,1.66,1.73,1.35,,,,,,
2570333,Tia Quito Sucre,-0.2223770,-78.512517,Alejandro Vargas,Tia Quito Sucre,No,Si,3 Items,Si,2 Items,1.19,1.49,1.89,1.49,1.49,,,,
2570297,"Tia Centro-av Chile, Quito",-0.2207342,-78.510962,Alejandro Vargas,"Tia Centro-av Chile, Quito",Sold out,No,Si,2 Items,Si,3 Items,1.49,1.99,0.45,0.99,99.0,,,
2570225,Mi Comisariato Garcia Moreno,-0.2185936,-78.511314,Alejandro Vargas,Mi Comisariato Garcia Moreno,No,Si,2 Items,Si,1 Item,1.72,1.7,1.18,,,,,,
2568860,On the Run F Chavez,-0.1441126,-78.483183,Alejandro Vargas,On the Run F Chavez,Si,1,Si,1.45,No,No,No,No,No,No,Si,3 Items,Si,1 Item
2568858,Tia Plataforma,-0.1745215,-78.484880,Alejandro Vargas,Tia Plataforma,Si,1 Item,Si,4 Items,Si,1 Item,1.19,1.19,1.19,1.89,1.49,3.99,,
2568840,Listo Sauces,-0.1715725,-78.476164,Alejandro Vargas,Listo Sauces,Si,2,Si,1.25,Si,1.25,No,No,No,Si,Si,1 Item,Si,2 Items
2568836,Farmacia MediCity Gaspar Villaroel,-0.1713287,-78.476018,Alejandro Vargas,No,Si,3 Items,Si,2 Items,1.95,1.95,1.87,1.85,1.5,,,,,
2568831,Okidoki 6 de Diciemree,-0.1706429,-78.475884,Alejandro Vargas,Okidoki 6 de Diciemree,No,Si,2 Items,Si,2 Items,1.05,0.5,0.49,1.05,,,,,
2568817,Farmacia Economica 10 de Agosto,-0.1634731,-78.475309,Alejandro Vargas,No,Si,2 Items,No,1.0,0.25,,,,,,,,,
2568531,Santa Maria 10 de Agosto,-0.1617317,-78.476238,Alejandro Vargas,Santa Maria 10 de Agosto,Si,1,Si,1.31,No,No,No,No,No,Si,2 Items,Si,3 Items,Si
2568468,Hipermercado Coral 10 de agosto,-0.1695506,-78.487234,Alejandro Vargas,Si,1,Si,1.38,No,No,No,No,No,Si,1 Item,Si,4 Items,Si,2 Items
2568292,Fybeca CC Jardin,-0.1890468,-78.487515,Alejandro Vargas,Fybeca CC Jardin,No,Si,2 Items,No,1.25,4.42,,,,,,,,
2568285,Supermaxi plaza Jardin,-0.1892965,-78.487960,Alejandro Vargas,Supermaxi plaza Jardin,Si,2,1,0.99,0.52,No,No,Si,2,Si,1.32,Si,1.33,No
2566890,Okidoki Amazonas,-0.1916972,-78.488750,Alejandro Vargas,Okidoki Amazonas,Si,1 Item,Si,2 Items,Si,2 Items,1.38,2.13,0.95,2.7,1.52,,,
2566887,Listo Naciones Unidas,-0.1751009,-78.487731,Alejandro Vargas,Listo Naciones Unidas,Si,1 Item,Si,2 Items,Si,1 Item,1.99,1.25,1.75,1.85,,,,
2566879,MegaMaxi 6 dic,-0.1805008,-78.477789,Alejandro Vargas,MegaMaxi 6 dic,Si,2,1,99.0,0.52,No,No,Si,2,Si,1.32,Si,1.33,No
2566845,Inaquito Supermercado Santa Maria - Iñaquito N38-17,-0.1725639,-78.487047,Alejandro Vargas,Si,2 Items,Si,3 Items,Si,3 Items,6.2,2.29,1.77,2.22,1.23,1.42,3.56,1.34,
2566826,Fybeca Bosques,-0.1619492,-78.497591,Alejandro Vargas,Fybeca Bosques,No,Si,2 Items,Si,1 Item,2.0,4.42,0.6,,,,,,
2566815,Pharmacy Bosque,-0.1620387,-78.498050,Alejandro Vargas,Pharmacy Bosque,No,No,Si,1 Item,1.48,,,,,,,,,
2566788,Supermaxi bosque,-0.1616048,-78.498716,Alejandro Vargas,Supermaxi bosque,Si,2,1,0.99,0.52,No,No,Si,2,Si,1.32,Si,1.33,No
2566530,Mi Comisariato Quicenteo,-0.1769462,-78.478988,Alejandro Vargas,Mi Comisariato Quicenteo,Si,1,Si,1.32,No,No,No,No,No,Out of Zero,Si,1 Item,Si,3 Items
2566434,Coral Hiper Shyris,-0.1639308,-78.472222,Alejandro Vargas,Coral Hiper Shyris,Out of stock promo weekend,Si,1 Item,Si,4 Items,Si,3 Items,2.44,1.62,0.93,3.63,0.45,1.94,1.13
2566337,Supermaxi Quito 07 - Ave. Eloy Alfaro No 44-110,-0.1640351,-78.467803,Alejandro Vargas,Si,2,1,0.99,0.52,No,No,Si,1,No,Si,1.33,No,No,No
2564946,Listo 6 de Diciembre,-0.1980475,-78.484219,Alejandro Vargas,Listo 6 de Diciembre,Out of stock waiting supply,No,Si,1 Item,Si,3 Items,0.65,1.75,0.65,1.5,,,,
