,locname,Lat,Lng,name,Missing location,¿Cuántos skus IL hay en anaquel? ,¿Cuántos skus RS hay en anaquel? ,¿Hay IL GALLINA en anaquel? ,¿Hay RS GALLINA en anaquel? ,¿Cual es el precio de IL?,¿Cual es el precio de RS?,¿Todos los sabores IL tienen el mismo precio?,¿Todos los sabores RS tienen el mismo precio?,¿Hay degustaciones de Maruchan en la tienda esta semana? ,¿Hay promocion de Maruchan en la tienda esta semana? 
2622816,Mass M. Larra 1,-12.069853,-77.039343,Ruben Munoz,Mass M. Larra 1,3,0,1.10,Si,Si,1,,,,
2622739,Mass Minimarket Garzon 6 - AV. GENERAL EUGENIO,-12.066612,-77.044431,Ruben Munoz,3,0,1.10,Si,Si,1,,,,,
2622718,Mass Minimarket Talara 4 - AV TALARA 452,-12.070896,-77.045223,Ruben Munoz,1,0,1.10,Si,Si,1,,,,,
2622637,Mass Usares,-12.077106,-77.051597,Ruben Munoz,Mass Usares,2,0,1.10,Si,Si,1,,,,
2619077,Mass Castilla,-12.085331,-77.071424,Ruben Munoz,Mass Castilla,3,0,1.10,Si,Si,1,,,,
2619061,Mass Av. Brasil,-12.087652,-77.064434,Ruben Munoz,Mass Av. Brasil,3,0,1.10,Si,Si,1,,,,
2619002,Mass Minimarket Sucre 11 - AV. ANTONIO JOSE,-12.080351,-77.066266,Ruben Munoz,1,0,1,Si,Si,1,,,,,
2617850,Mass Cesar Vallejo,-12.087923,-77.047544,Ruben Munoz,Mass Cesar Vallejo,3,0,1.10,Si,Si,1,,,,
2617819,Mass Minimarket Jose Leal 8 - AV. JOSE LEAL 859-863,-12.085895,-77.041694,Ruben Munoz,0,1.10,Si,Si,,,,,,,
2617781,Mass Minimarket Candamo 1 - JR. MANUEL CANDAMO 199,-12.082458,-77.035023,Ruben Munoz,0,1.10,Si,Si,,,,,,,
2617756,Mass Minimarket Risso 3 - JR. RISSO 352,-12.085580,-77.032645,Ruben Munoz,0,1.10,Si,Si,,,,,,,
2617749,Mass Merino,-12.088764,-77.031875,Ruben Munoz,Mass Merino,2,0,1.10,Si,Si,1,,,,
2617682,Mass Minimarket Reducto 9 - AV REDUCTO 949,-12.128089,-77.023973,Ruben Munoz,0,0,Si,Si,,,,,,,
2617624,Mass Minimarket A Ugarte  - CALLE ALFONSO UGARTE 342,-12.117228,-77.026590,Ruben Munoz,0,0,Si,Si,1,,,,,,
2616717,Mass Minimarket Bolivia 7 - AV. BOLIVIA 719,-12.056492,-77.044839,Ruben Munoz,0,1.10,Si,Si,,,,,,,
2615242,Mass Insurgentes 7,-12.067852,-77.103993,Ruben Munoz,Mass Insurgentes 7,3,0,1.10,Si,Si,1,,,,
2615195,MASS PRECURSORES 281,-12.071393,-77.090291,Ruben Munoz,MASS PRECURSORES 281,1,0,1.10,Si,Si,1,,,,
2615127,Mass Minimarket Patriotas 8 - AV. DE LOS PATRIOTAS,-12.077042,-77.098292,Ruben Munoz,1,0,1.10,Si,Si,1,,,,,
2615039,Mass Minimarket Libertad 15 - URB. MARANGA,-12.082540,-77.096263,Ruben Munoz,3,0,1.10,Si,Si,1,,,,,
2614968,MASS BRÍGIDA 5,-12.084391,-77.089940,Ruben Munoz,MASS BRÍGIDA 5,1,0,1.10,Si,Si,1,,,,
2614865,Mass Minimarket Universitaria 20 - URB. PANDO OCTAVA,-12.063713,-77.078571,Ruben Munoz,3,0,1.10,Si,Si,1,,,,,
2572927,Tambo Punta Hermosa - MZA. M LOTE.,-12.332684,-76.824747,Luis Castro,4,1,Si,2.80,1.50,Si,Si,1,,,
2572901,TAMBO BARREDA,-12.025863,-77.028535,Elena Gabriel,TAMBO BARREDA,6,Si,2.80,1.5,Si,Si,2,,,
2572880,Tambo San Bartolo - Ave. MAR PACIFICO,-12.388402,-76.778237,Luis Castro,5,Si,2.80,1.50,Si,Si,1,,,,
2572830,Tambo Tarapaca - Ave. Tarapacá 533,-12.029591,-77.035347,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,1,,,
2572790,Tambo San Vicente - Fundo San Vicente,-12.254959,-76.907043,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2572759,Tambo Alcazar - Ave. Alcazar Nro. 778,-12.027532,-77.032801,Elena Gabriel,5,2,Si,2.80,1.50,Si,1 items,3,quiere de pollo,,
2572754,TAMBO BOLOGNESI LURIN ,-12.274894,-76.869710,Luis Castro,4,1,Si,2.80,1.50,Si,Si,1,,,
2572699,corporación vega surco ,-12.145456,-76.988258,Moises Monroy,3,1,Si,Si,2.40,1.30,Si,Si,Si,2,
2572696,Tambo Alcazar C2 - Ave. Alcázar 204,-12.031574,-77.027950,Elena Gabriel,5,Si,2.80,1.50,Si,Si,2,quiebre total,,,
2572686,TAMBO SEVILLA ,-12.195752,-76.958855,Luis Castro,5,2,Si,2.80,1.50,Si,1 items,1,,,
2572451,Tambo Petit c26,-12.090565,-77.032395,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,3,,,
2572365,Tambo Risso ,-12.086317,-77.035449,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2572316,Tambo Tello - Ave. Julio C.,-12.086763,-77.042026,Elena Gabriel,4,1,Si,2.80,1.50,Si,Si,1,,,
2572169,Tambo Canevaro c12,-12.084878,-77.044662,Elena Gabriel,5,2,Si,2.80,1.50,Si,1 items,2,,,
2572141,Tambo UCV Ate - Ave. Nicolás Ayllón,-12.022387,-76.909157,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2572010,TAMBO TORRES DE HUACHIPA ,-12.015873,-76.898971,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2571935,Tambo Ayllon 2 - Calle Trabajo 102,-12.023891,-76.913610,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
